Name,Age,Gender,Skills,Wages (INR/day),Location,Pincode,Years of Experience,Education Level,Marital Status,Number of Dependents,Work Type
Chanakya Barad,22,Male,Tailoring,517-792,Ahmedabad,380001,3,Primary,Widowed,2,Full-Time
Hiral Kant,34,Female,Decorating,499-786,Mumbai,400001,5,None,Single,0,Full-Time
Chaaya Shere,22,Female,Welding,499-633,Jaipur,302001,2,Secondary,Single,1,Part-Time
Watika Deo,37,Female,"Sewing, Cooking",394-666,Lucknow,226001,17,Secondary,Widowed,0,Full-Time
Lila Sethi,21,Male,Carpentry,528-776,Ahmedabad,380001,1,None,Married,4,Seasonal
Pooja Varughese,60,Male,"Decorating, Decorating",307-472,Bangalore,560001,20,Secondary,Single,0,Seasonal
Gabriel Zacharia,52,Male,Cooking,542-675,Pune,411001,3,Higher Secondary,Single,2,Full-Time
Ishanvi Kanda,25,Male,Painting,421-595,Delhi,110001,4,Primary,Single,0,Seasonal
Janani Nadkarni,45,Male,Domestic Help,323-466,Lucknow,226001,19,Secondary,Widowed,2,Seasonal
Maanas Gopal,45,Female,Carpentry,387-595,Jaipur,302001,13,Secondary,Married,4,Seasonal
Ijaya Yogi,27,Male,Gardening,557-690,Bangalore,560001,6,None,Widowed,0,Full-Time
Hardik Ramesh,20,Female,Sewing,308-508,Mumbai,400001,1,None,Widowed,0,Full-Time
Bachittar Narayanan,27,Male,Carpentry,557-780,Pune,411001,2,Primary,Married,4,Seasonal
Tanish Chakrabarti,22,Female,Decorating,445-548,Kolkata,700001,3,None,Widowed,1,Part-Time
Nicholas Chana,54,Female,"Cooking, Electrical Work",584-849,Pune,411001,2,Primary,Single,0,Part-Time
Aradhana Bose,24,Male,Masonry,384-544,Lucknow,226001,7,Secondary,Married,3,Part-Time
Nimrat Ram,20,Female,Electrical Work,512-789,Lucknow,226001,1,Primary,Widowed,2,Part-Time
Meera Chaudhary,44,Male,Plastering,582-775,Ahmedabad,380001,14,Higher Secondary,Married,4,Part-Time
Tamanna Borde,34,Male,"Carpentry, Plastering",525-713,Mumbai,400001,2,Primary,Single,2,Full-Time
Veda Sule,51,Female,Gardening,402-686,Chennai,600001,19,Primary,Married,0,Full-Time
Gaurika Prabhakar,31,Female,Sewing,589-824,Bangalore,560001,13,None,Single,0,Full-Time
Dakshesh Shah,56,Male,Plumbing,596-874,Jaipur,302001,5,Secondary,Widowed,0,Seasonal
Jeet Sachdev,23,Female,Plumbing,402-607,Jaipur,302001,6,Higher Secondary,Single,2,Part-Time
Girindra Choudhary,26,Female,Plumbing,580-744,Bangalore,560001,1,None,Married,3,Full-Time
Ikshita Pau,36,Female,Painting,567-766,Kolkata,700001,17,Higher Secondary,Widowed,0,Part-Time
Neha Bal,32,Female,Cooking,539-743,Lucknow,226001,7,Primary,Married,4,Full-Time
Jasmit Rau,52,Female,"Electrical Work, Tailoring",466-721,Lucknow,226001,9,None,Married,4,Full-Time
Neel Bhatia,43,Male,Decorating,437-590,Kolkata,700001,8,Primary,Widowed,1,Full-Time
Sanya Reddy,38,Male,Plumbing,531-636,Ahmedabad,380001,14,Primary,Widowed,0,Part-Time
Frederick Dhar,23,Female,Plumbing,494-636,Chennai,600001,3,Primary,Widowed,2,Full-Time
Daniel Sridhar,36,Male,Plastering,542-821,Ahmedabad,380001,13,None,Married,5,Full-Time
Ekavir Sankar,38,Female,Tailoring,306-551,Pune,411001,14,Primary,Single,1,Seasonal
Vincent Oak,26,Male,Welding,418-717,Lucknow,226001,6,Primary,Widowed,2,Part-Time
Bachittar Sekhon,34,Male,Decorating,561-845,Jaipur,302001,4,Higher Secondary,Married,5,Part-Time
Vasatika Pau,55,Female,"Sewing, Masonry",427-536,Bangalore,560001,5,Secondary,Widowed,2,Part-Time
Unni Sood,59,Female,"Welding, Painting",321-538,Hyderabad,500001,18,Secondary,Married,3,Full-Time
Vritti Sunder,20,Female,"Plastering, Plastering",319-613,Bangalore,560001,1,None,Single,1,Full-Time
Azad Mander,58,Male,Masonry,477-733,Ahmedabad,380001,18,None,Single,2,Seasonal
Shaurya Aurora,22,Female,Sewing,344-597,Delhi,110001,5,None,Single,1,Seasonal
Yashvi Kant,19,Male,Domestic Help,504-797,Kolkata,700001,2,Higher Secondary,Married,3,Full-Time
Yatan Prabhakar,34,Male,"Painting, Decorating",450-738,Bangalore,560001,2,Primary,Single,0,Seasonal
Hemal Johal,19,Male,Plumbing,448-561,Kolkata,700001,2,None,Widowed,0,Part-Time
Chasmum Varughese,54,Female,Decorating,389-610,Ahmedabad,380001,6,Secondary,Married,3,Part-Time
Keya Ahluwalia,44,Male,Sewing,482-612,Delhi,110001,18,Higher Secondary,Widowed,1,Full-Time
Rohan Lata,20,Male,Gardening,494-605,Chennai,600001,2,None,Single,1,Part-Time
Chakradev Deo,27,Male,Sewing,587-690,Pune,411001,3,Secondary,Widowed,1,Full-Time
Abha Mani,56,Male,Masonry,430-605,Pune,411001,15,Primary,Married,1,Full-Time
Leena Uppal,29,Female,Tailoring,314-561,Lucknow,226001,2,Primary,Married,5,Part-Time
Aahana Choudhary,18,Male,Masonry,371-516,Delhi,110001,1,Primary,Widowed,1,Full-Time
Indrajit Ramesh,35,Female,Decorating,310-581,Ahmedabad,380001,18,Higher Secondary,Single,2,Full-Time
Triya Deo,44,Female,Masonry,593-873,Mumbai,400001,9,Higher Secondary,Widowed,0,Part-Time
Rajata Rege,52,Male,Tailoring,477-689,Mumbai,400001,12,Primary,Single,0,Part-Time
Chameli Chaudhuri,18,Male,Painting,567-853,Jaipur,302001,1,Primary,Single,0,Part-Time
Girish Karnik,25,Female,Electrical Work,470-670,Bangalore,560001,7,Primary,Married,4,Full-Time
Balveer Boase,27,Male,Welding,474-627,Mumbai,400001,1,Secondary,Widowed,2,Part-Time
Zayan Atwal,54,Male,Gardening,593-849,Hyderabad,500001,20,Higher Secondary,Single,2,Full-Time
Bakhshi Sarin,58,Male,"Carpentry, Plumbing",528-741,Jaipur,302001,15,Higher Secondary,Single,2,Seasonal
Yochana Pandey,42,Male,Welding,428-643,Pune,411001,14,Primary,Single,2,Full-Time
Megha Lata,48,Female,Cooking,448-672,Delhi,110001,20,Primary,Married,1,Seasonal
Anika Nigam,22,Female,Cooking,398-669,Chennai,600001,4,Primary,Widowed,0,Part-Time
Chandresh Karpe,34,Female,"Tailoring, Sewing",523-631,Mumbai,400001,17,Higher Secondary,Single,2,Part-Time
Vyanjana Shukla,39,Male,Welding,338-526,Jaipur,302001,12,Higher Secondary,Single,0,Seasonal
Maya Kumar,56,Male,Painting,468-656,Lucknow,226001,16,Secondary,Single,2,Seasonal
Lohit Golla,57,Female,Sewing,463-691,Hyderabad,500001,15,None,Married,6,Seasonal
Gagan Warrior,49,Female,Electrical Work,345-615,Chennai,600001,2,Secondary,Single,2,Seasonal
Upasna Sani,60,Male,Masonry,538-760,Kolkata,700001,20,Higher Secondary,Widowed,0,Full-Time
Xalak Wali,58,Female,Cooking,477-745,Chennai,600001,13,Secondary,Widowed,1,Seasonal
Tripti Kala,55,Male,Domestic Help,600-827,Lucknow,226001,17,Primary,Married,4,Seasonal
Aashi Gour,53,Female,Welding,338-597,Kolkata,700001,3,None,Married,2,Part-Time
Adweta Chopra,29,Female,Welding,500-697,Ahmedabad,380001,9,Higher Secondary,Married,4,Part-Time
Hemangini Nadkarni,41,Female,Carpentry,424-641,Ahmedabad,380001,1,Primary,Married,3,Seasonal
Jason Seth,37,Female,Masonry,455-723,Kolkata,700001,10,None,Married,4,Part-Time
Nathaniel Kara,40,Male,Decorating,380-660,Ahmedabad,380001,11,Higher Secondary,Married,0,Seasonal
Pushti Garde,28,Female,Electrical Work,325-528,Hyderabad,500001,1,Higher Secondary,Married,0,Seasonal
Onkar Kumar,21,Female,Plumbing,581-706,Kolkata,700001,1,None,Married,1,Part-Time
Girik Wason,29,Female,Welding,367-530,Bangalore,560001,4,Higher Secondary,Single,2,Part-Time
Lavanya Deep,34,Female,Decorating,501-755,Bangalore,560001,3,Higher Secondary,Single,0,Part-Time
Qadim Varkey,39,Male,Decorating,543-687,Kolkata,700001,8,None,Married,2,Seasonal
Elijah Kant,49,Female,Plastering,514-732,Chennai,600001,1,Higher Secondary,Married,5,Full-Time
Januja Jha,52,Female,Masonry,549-748,Chennai,600001,9,None,Married,4,Full-Time
Bishakha Subramaniam,26,Female,Domestic Help,456-710,Bangalore,560001,3,Secondary,Married,4,Part-Time
Oliver Prabhakar,46,Male,Cooking,320-607,Ahmedabad,380001,19,Secondary,Widowed,1,Full-Time
Aahana Deep,45,Female,Domestic Help,565-774,Hyderabad,500001,1,None,Widowed,2,Full-Time
Aarini Saraf,24,Female,Gardening,308-523,Ahmedabad,380001,4,None,Widowed,1,Part-Time
Girish Sachdeva,32,Female,Sewing,327-614,Pune,411001,8,Higher Secondary,Widowed,2,Part-Time
Praneel Bhagat,22,Female,"Electrical Work, Cooking",511-699,Ahmedabad,380001,3,None,Single,1,Part-Time
Alexander Saini,21,Female,Carpentry,360-485,Bangalore,560001,2,None,Married,0,Full-Time
Maanav Bava,22,Male,Plastering,307-539,Kolkata,700001,1,Higher Secondary,Married,0,Seasonal
Hemangini Dhar,35,Female,Electrical Work,559-836,Lucknow,226001,5,Secondary,Widowed,2,Seasonal
Widisha Zachariah,31,Female,Decorating,572-687,Ahmedabad,380001,6,Primary,Married,3,Part-Time
Ronith Kohli,26,Female,Decorating,592-844,Delhi,110001,6,Secondary,Married,2,Seasonal
Zehaan Mann,26,Male,"Tailoring, Electrical Work",465-757,Lucknow,226001,3,Primary,Widowed,1,Full-Time
Divya Batra,25,Female,Gardening,374-515,Hyderabad,500001,2,Primary,Single,2,Part-Time
Mohini Dhawan,20,Female,Gardening,547-778,Bangalore,560001,3,Primary,Single,1,Full-Time
Chandresh Dhar,37,Female,Sewing,414-538,Jaipur,302001,15,Higher Secondary,Married,2,Part-Time
Ojasvi Apte,48,Male,Masonry,559-708,Ahmedabad,380001,7,Primary,Widowed,0,Full-Time
Ranveer Prabhakar,44,Male,"Decorating, Carpentry",480-650,Hyderabad,500001,3,Primary,Married,5,Part-Time
Upma Prashad,40,Male,Domestic Help,500-659,Kolkata,700001,4,None,Widowed,1,Seasonal
Atharv Wali,40,Male,Plastering,354-480,Chennai,600001,2,None,Single,0,Full-Time
Udarsh Sampath,49,Male,Domestic Help,482-630,Bangalore,560001,5,Higher Secondary,Single,1,Part-Time
Amaira Buch,39,Male,Plumbing,472-748,Pune,411001,18,Primary,Single,0,Part-Time
Samesh Kamdar,36,Male,Painting,560-660,Jaipur,302001,12,Higher Secondary,Single,1,Part-Time
Wriddhish Kumar,19,Female,Sewing,462-685,Ahmedabad,380001,2,None,Widowed,1,Seasonal
Gabriel Muni,29,Male,Plastering,406-548,Chennai,600001,3,Higher Secondary,Married,1,Part-Time
Ekalinga Garg,23,Female,Sewing,319-528,Ahmedabad,380001,3,Higher Secondary,Single,0,Part-Time
Ishwar Kar,54,Female,"Welding, Welding",340-607,Chennai,600001,6,Primary,Widowed,0,Seasonal
Ayush Nori,30,Male,Carpentry,508-768,Chennai,600001,4,Higher Secondary,Married,2,Full-Time
Matthew Grewal,25,Male,Carpentry,478-760,Jaipur,302001,3,Primary,Widowed,0,Seasonal
Ati Gour,59,Male,Sewing,426-694,Mumbai,400001,5,Higher Secondary,Widowed,1,Seasonal
Garima Bassi,51,Female,Domestic Help,482-754,Bangalore,560001,14,Primary,Single,2,Full-Time
Riya Tata,27,Male,Tailoring,413-519,Hyderabad,500001,5,Higher Secondary,Single,0,Full-Time
Tarak Hans,60,Female,Sewing,544-785,Mumbai,400001,15,Secondary,Single,2,Seasonal
Bhavika Sachdeva,25,Female,"Domestic Help, Electrical Work",522-680,Hyderabad,500001,4,None,Widowed,1,Seasonal
Brijesh Tailor,20,Female,Decorating,557-849,Kolkata,700001,1,None,Widowed,2,Full-Time
Kashvi Pathak,21,Male,Sewing,377-580,Chennai,600001,4,Secondary,Widowed,2,Part-Time
Sanaya Sharaf,23,Male,Tailoring,485-709,Delhi,110001,6,None,Widowed,0,Full-Time
Manan Thakkar,54,Female,Cooking,442-559,Delhi,110001,15,None,Single,0,Full-Time
Hemani Dugar,50,Male,Masonry,563-754,Delhi,110001,13,Secondary,Single,2,Seasonal
Jason Shukla,34,Female,Tailoring,567-817,Jaipur,302001,17,None,Married,3,Full-Time
Aarush Nanda,48,Female,"Sewing, Domestic Help",481-659,Jaipur,302001,9,Secondary,Single,2,Seasonal
Ekbal Verma,49,Female,Tailoring,483-701,Bangalore,560001,17,Higher Secondary,Single,1,Seasonal
Abdul Nadkarni,20,Female,Domestic Help,479-639,Kolkata,700001,3,Primary,Married,6,Full-Time
Peter Krish,24,Male,Cooking,512-762,Jaipur,302001,4,None,Single,1,Seasonal
Nathaniel Banik,27,Female,Cooking,471-720,Delhi,110001,8,Higher Secondary,Single,2,Part-Time
Omkaar Bajwa,33,Female,Electrical Work,441-614,Pune,411001,10,None,Widowed,2,Full-Time
Victor Shenoy,49,Male,"Decorating, Plumbing",583-791,Kolkata,700001,9,None,Single,2,Full-Time
Sudiksha Chahal,40,Male,Gardening,435-647,Mumbai,400001,1,None,Widowed,2,Part-Time
Damini Minhas,53,Male,Decorating,352-542,Delhi,110001,15,Secondary,Married,6,Seasonal
Riya Hans,54,Female,Carpentry,405-515,Mumbai,400001,18,Higher Secondary,Married,1,Part-Time
Samaksh Mishra,38,Male,Plastering,485-716,Jaipur,302001,19,Higher Secondary,Married,1,Part-Time
Ishwar Johal,58,Female,"Gardening, Painting",509-746,Lucknow,226001,11,Primary,Widowed,1,Full-Time
Anjali Handa,34,Female,Domestic Help,324-521,Bangalore,560001,10,Secondary,Married,2,Full-Time
Nitara Kumar,52,Female,Masonry,533-712,Hyderabad,500001,19,Primary,Single,0,Part-Time
Bishakha Dey,51,Female,"Cooking, Plastering",414-595,Jaipur,302001,16,Higher Secondary,Single,2,Part-Time
Advik Raman,59,Female,"Decorating, Carpentry",511-678,Jaipur,302001,8,None,Single,0,Full-Time
Vincent Raman,41,Female,Masonry,400-624,Kolkata,700001,7,Higher Secondary,Married,3,Full-Time
Ikshita Chokshi,50,Female,Gardening,450-716,Bangalore,560001,8,Primary,Widowed,2,Seasonal
Vedhika Vohra,47,Male,Tailoring,550-722,Bangalore,560001,19,Primary,Widowed,2,Full-Time
Banjeet Din,27,Male,Painting,579-876,Lucknow,226001,6,Higher Secondary,Single,1,Seasonal
Rohan Tiwari,37,Male,Plastering,519-688,Mumbai,400001,5,Primary,Single,0,Part-Time
George Verma,20,Male,Cooking,590-786,Lucknow,226001,3,Higher Secondary,Widowed,1,Full-Time
William Keer,43,Male,Painting,422-525,Ahmedabad,380001,8,Primary,Widowed,2,Full-Time
Nitara Peri,51,Female,Cooking,596-807,Delhi,110001,19,Secondary,Widowed,1,Seasonal
Patrick Cheema,44,Female,Tailoring,481-776,Jaipur,302001,15,Higher Secondary,Married,3,Full-Time
Dalbir Anne,27,Male,Tailoring,355-634,Ahmedabad,380001,3,Primary,Widowed,1,Seasonal
Parth Chawla,40,Female,"Tailoring, Welding",506-735,Lucknow,226001,7,Primary,Single,2,Part-Time
Atharv Hegde,32,Male,Plumbing,442-566,Hyderabad,500001,6,Secondary,Single,1,Full-Time
Upasna Kade,32,Male,Decorating,382-520,Hyderabad,500001,12,Secondary,Single,0,Seasonal
Yachana Biswas,54,Female,"Tailoring, Gardening",344-591,Hyderabad,500001,10,Secondary,Married,3,Seasonal
Manbir Dey,44,Female,Plumbing,521-680,Pune,411001,12,Secondary,Widowed,0,Part-Time
Dhruv Sekhon,19,Male,Plumbing,388-649,Kolkata,700001,1,None,Married,1,Part-Time
Chavvi Kothari,53,Female,Plastering,459-621,Pune,411001,17,Primary,Widowed,1,Seasonal
Gauri Apte,28,Female,Plastering,504-784,Pune,411001,8,Primary,Single,2,Seasonal
Varsha Dugar,41,Female,Painting,364-493,Kolkata,700001,17,Primary,Single,2,Part-Time
Hemal Hayre,35,Female,"Plastering, Sewing",361-491,Chennai,600001,18,Primary,Single,1,Part-Time
Yashawini Kumar,51,Male,Sewing,311-583,Lucknow,226001,1,Higher Secondary,Single,2,Full-Time
Adweta Chad,27,Male,Sewing,535-749,Lucknow,226001,9,Primary,Single,1,Full-Time
Dalbir Dubey,60,Female,Cooking,434-536,Chennai,600001,17,None,Widowed,1,Full-Time
Watika Kohli,54,Male,Sewing,324-544,Kolkata,700001,14,Secondary,Married,5,Part-Time
Bhavika Mand,28,Male,Tailoring,539-713,Mumbai,400001,11,None,Widowed,0,Part-Time
Yamini Gole,52,Female,Domestic Help,446-736,Mumbai,400001,17,Primary,Married,1,Seasonal
Omya Seth,50,Female,Decorating,337-481,Hyderabad,500001,17,Primary,Widowed,1,Part-Time
Girish Bera,58,Male,Plumbing,569-864,Kolkata,700001,3,None,Married,4,Part-Time
Faras Panchal,31,Female,Plumbing,544-838,Kolkata,700001,12,Primary,Married,4,Part-Time
Vaishnavi Mistry,43,Female,Decorating,527-745,Mumbai,400001,4,None,Single,1,Seasonal
Alexander Vala,53,Female,"Gardening, Decorating",435-562,Mumbai,400001,13,Primary,Married,4,Full-Time
Krish Gola,18,Female,"Welding, Carpentry",403-533,Kolkata,700001,1,None,Single,1,Part-Time
Nicholas Sachdeva,41,Male,Sewing,341-523,Jaipur,302001,5,Secondary,Widowed,1,Seasonal
Balendra Trivedi,32,Male,Plumbing,417-612,Hyderabad,500001,6,None,Widowed,2,Part-Time
Yashvi Sura,47,Female,Cooking,399-666,Hyderabad,500001,3,Secondary,Single,2,Seasonal
Tripti Ravi,32,Female,"Gardening, Masonry",476-589,Chennai,600001,3,None,Married,4,Full-Time
Hamsini Chana,23,Female,Plastering,324-434,Jaipur,302001,3,Secondary,Single,0,Full-Time
Adya Gokhale,41,Male,Plumbing,597-717,Pune,411001,1,None,Single,0,Part-Time
Hiral Lall,27,Male,Domestic Help,416-605,Lucknow,226001,1,None,Married,0,Full-Time
Samuel Sathe,23,Male,"Welding, Masonry",405-697,Chennai,600001,4,Primary,Married,6,Full-Time
Gautam Sawhney,22,Female,Carpentry,584-876,Kolkata,700001,4,None,Widowed,0,Part-Time
Anvi Vaidya,31,Male,Cooking,465-615,Lucknow,226001,4,Primary,Widowed,2,Full-Time
Thomas Sodhi,59,Male,"Welding, Electrical Work",410-631,Hyderabad,500001,6,None,Widowed,0,Seasonal
Warhi Char,49,Female,"Welding, Sewing",485-635,Bangalore,560001,10,Secondary,Widowed,0,Full-Time
Vyanjana Parekh,52,Female,"Welding, Gardening",441-685,Chennai,600001,1,Primary,Widowed,2,Full-Time
Yashasvi Saini,40,Male,"Carpentry, Domestic Help",378-557,Chennai,600001,7,None,Married,2,Seasonal
Aarna Munshi,54,Female,Sewing,578-775,Ahmedabad,380001,11,Primary,Married,4,Part-Time
Nakul Salvi,34,Female,Decorating,596-698,Hyderabad,500001,5,Higher Secondary,Married,3,Seasonal
Ati Kashyap,21,Male,Decorating,456-584,Ahmedabad,380001,4,Primary,Widowed,2,Part-Time
Gunbir Iyengar,36,Male,Plastering,400-629,Lucknow,226001,7,Primary,Married,2,Part-Time
Aditya Lanka,40,Male,Painting,456-660,Ahmedabad,380001,11,Higher Secondary,Widowed,2,Seasonal
Mekhala Wali,39,Male,Gardening,541-708,Jaipur,302001,18,None,Single,1,Full-Time
Yashvi Mohanty,29,Male,Masonry,488-611,Chennai,600001,2,Higher Secondary,Single,1,Part-Time
Thomas Dash,58,Female,Gardening,316-452,Hyderabad,500001,1,Higher Secondary,Widowed,2,Full-Time
Zansi Prabhu,31,Male,Decorating,564-806,Pune,411001,13,Secondary,Married,0,Full-Time
Sneha Konda,31,Female,Plumbing,434-627,Pune,411001,10,Primary,Single,1,Seasonal
Aadhya Bobal,50,Male,"Plastering, Tailoring",317-558,Bangalore,560001,3,Secondary,Widowed,1,Full-Time
Kiaan Sanghvi,27,Female,Plastering,458-693,Chennai,600001,2,Secondary,Single,2,Part-Time
Oeshi Kale,28,Male,"Painting, Electrical Work",485-618,Delhi,110001,2,Primary,Widowed,1,Full-Time
Saumya Prabhakar,20,Female,"Plastering, Domestic Help",487-763,Bangalore,560001,3,None,Single,0,Part-Time
Oni Kar,21,Female,Welding,480-758,Lucknow,226001,1,Secondary,Married,4,Seasonal
Anthony Pal,58,Female,Domestic Help,355-602,Lucknow,226001,13,Secondary,Widowed,2,Full-Time
Nachiket Hayer,42,Female,"Electrical Work, Domestic Help",432-704,Bangalore,560001,12,None,Widowed,1,Seasonal
George Khalsa,34,Male,Gardening,498-773,Ahmedabad,380001,6,Secondary,Widowed,1,Full-Time
Christopher Sen,20,Female,Gardening,431-605,Chennai,600001,1,Higher Secondary,Widowed,0,Full-Time
Wyatt Mane,51,Male,"Masonry, Carpentry",305-435,Kolkata,700001,20,Higher Secondary,Widowed,0,Part-Time
Janaki Chahal,50,Female,Welding,553-685,Delhi,110001,17,Higher Secondary,Single,1,Seasonal
Kamya Ghosh,56,Female,"Masonry, Tailoring",322-531,Bangalore,560001,20,Primary,Widowed,0,Seasonal
Aashi Ganesan,41,Male,"Cooking, Welding",441-712,Ahmedabad,380001,5,Primary,Married,6,Part-Time
Yug Babu,25,Male,Gardening,452-602,Bangalore,560001,7,Primary,Married,3,Seasonal
Henry Naidu,24,Female,Painting,405-540,Jaipur,302001,7,Primary,Widowed,2,Part-Time
Yug Sethi,44,Female,Welding,505-633,Jaipur,302001,6,Higher Secondary,Single,2,Part-Time
Neha Loke,60,Male,Electrical Work,509-621,Jaipur,302001,4,Higher Secondary,Single,0,Seasonal
Divya Hari,43,Female,Masonry,440-607,Hyderabad,500001,20,Secondary,Widowed,0,Seasonal
Advik Srinivas,41,Male,"Cooking, Domestic Help",557-711,Mumbai,400001,4,Primary,Married,3,Seasonal
Balvan Wagle,33,Male,Electrical Work,440-644,Bangalore,560001,2,Higher Secondary,Single,0,Part-Time
George Sunder,19,Male,Plumbing,304-537,Ahmedabad,380001,1,None,Widowed,0,Part-Time
Niharika Das,53,Female,Cooking,532-753,Lucknow,226001,5,Higher Secondary,Single,2,Seasonal
Turvi Prasad,42,Female,Domestic Help,346-501,Bangalore,560001,18,None,Married,3,Seasonal
Zilmil Bhandari,47,Male,"Plastering, Masonry",520-667,Lucknow,226001,1,Secondary,Widowed,1,Part-Time
Tara Vohra,59,Male,Domestic Help,544-748,Ahmedabad,380001,11,Secondary,Married,4,Full-Time
Agastya Modi,36,Male,Plastering,367-641,Delhi,110001,8,Primary,Married,0,Part-Time
Tanveer Shukla,53,Female,Cooking,449-654,Pune,411001,12,Secondary,Single,2,Seasonal
Ladli Balan,32,Male,Painting,495-699,Bangalore,560001,3,Primary,Widowed,2,Seasonal
Faqid Zachariah,20,Male,Decorating,410-681,Lucknow,226001,3,Higher Secondary,Married,1,Part-Time
Varenya Chakraborty,50,Male,Domestic Help,465-608,Hyderabad,500001,8,Secondary,Married,0,Part-Time
Jack Devi,25,Male,"Carpentry, Electrical Work",498-603,Jaipur,302001,6,Secondary,Widowed,2,Part-Time
Lavanya Ahuja,20,Female,Carpentry,412-612,Lucknow,226001,1,Primary,Single,0,Seasonal
Frado Nagi,36,Female,Gardening,450-720,Chennai,600001,17,Secondary,Widowed,1,Part-Time
Ria Kadakia,27,Female,Tailoring,526-630,Lucknow,226001,9,Secondary,Widowed,2,Full-Time
Mitali Agrawal,28,Male,Decorating,412-709,Kolkata,700001,8,None,Single,1,Part-Time
Isaac Hayre,55,Female,"Plumbing, Electrical Work",574-704,Hyderabad,500001,20,Secondary,Single,0,Seasonal
Tanish Ganesan,42,Male,Gardening,566-750,Ahmedabad,380001,17,Primary,Widowed,0,Part-Time
Tanmayi Ranganathan,60,Male,Electrical Work,478-664,Hyderabad,500001,4,Secondary,Single,2,Full-Time
Charita Patla,33,Male,Welding,571-702,Kolkata,700001,5,Higher Secondary,Single,1,Part-Time
Isaac Mistry,43,Male,"Welding, Plumbing",428-566,Bangalore,560001,3,Secondary,Widowed,0,Seasonal
Kashvi Gala,51,Male,Decorating,511-794,Lucknow,226001,2,Primary,Widowed,2,Seasonal
Dalbir Oza,34,Female,Masonry,398-605,Ahmedabad,380001,13,None,Widowed,0,Full-Time
Ati Sethi,52,Male,Cooking,493-708,Kolkata,700001,19,None,Widowed,2,Part-Time
Chavvi Bhavsar,18,Female,Domestic Help,364-503,Mumbai,400001,1,Primary,Single,1,Part-Time
Indrajit Bhardwaj,44,Female,Tailoring,444-737,Ahmedabad,380001,3,None,Widowed,1,Seasonal
Atharv Arora,36,Male,Plastering,341-510,Delhi,110001,6,Secondary,Single,0,Seasonal
Jackson Bora,46,Male,Decorating,440-740,Bangalore,560001,5,Primary,Married,1,Part-Time
Pooja Yadav,30,Female,"Welding, Gardening",488-730,Bangalore,560001,8,None,Married,5,Part-Time
Rajeshri Tella,35,Female,Painting,346-632,Bangalore,560001,5,Primary,Married,2,Seasonal
Gaurika Pai,53,Male,Plastering,543-699,Bangalore,560001,1,Secondary,Widowed,1,Seasonal
Daksh Apte,48,Female,Gardening,511-733,Kolkata,700001,13,Primary,Married,4,Full-Time
Yatin Nadig,19,Male,Painting,444-700,Jaipur,302001,2,Higher Secondary,Widowed,2,Full-Time
Irya Bora,57,Female,Welding,342-522,Lucknow,226001,5,Primary,Married,2,Part-Time
Barkha Mangat,18,Male,Tailoring,576-708,Mumbai,400001,1,Secondary,Single,0,Seasonal
Sai Vyas,48,Male,Tailoring,375-534,Bangalore,560001,20,Higher Secondary,Single,1,Part-Time
Garima Narayan,23,Male,Plastering,374-661,Bangalore,560001,2,Secondary,Widowed,0,Part-Time
Jalsa Cherian,45,Female,Plumbing,361-616,Ahmedabad,380001,14,Secondary,Widowed,2,Part-Time
Liam Khurana,21,Male,Carpentry,350-531,Delhi,110001,1,None,Widowed,0,Seasonal
Quincy Baria,48,Male,"Tailoring, Electrical Work",482-599,Lucknow,226001,4,Primary,Married,6,Full-Time
Jhalak Lad,58,Female,Plumbing,335-535,Pune,411001,8,Secondary,Married,6,Seasonal
Mahika Pant,51,Female,Masonry,387-535,Jaipur,302001,10,Secondary,Widowed,0,Full-Time
Advaith Jain,47,Male,Tailoring,392-647,Chennai,600001,9,Secondary,Married,1,Seasonal
Ekapad Divan,34,Female,Tailoring,581-784,Jaipur,302001,3,Primary,Widowed,1,Part-Time
Nimrat Prasad,18,Female,Domestic Help,548-798,Kolkata,700001,1,Secondary,Widowed,1,Part-Time
Janya Joshi,30,Male,Welding,519-764,Lucknow,226001,9,Secondary,Married,0,Seasonal
Ira Shenoy,46,Female,Cooking,350-606,Chennai,600001,1,Primary,Married,2,Full-Time
Yauvani Mittal,30,Male,Tailoring,352-593,Bangalore,560001,4,Higher Secondary,Married,4,Full-Time
Irya Cherian,52,Male,Welding,345-470,Lucknow,226001,17,None,Single,0,Full-Time
Gaurav Dhar,48,Male,Decorating,598-710,Mumbai,400001,4,Secondary,Widowed,0,Full-Time
Pahal Yadav,42,Male,Plastering,538-716,Delhi,110001,4,Secondary,Widowed,1,Part-Time
Aarush Roy,60,Male,Gardening,439-617,Bangalore,560001,18,Primary,Married,6,Full-Time
Baghyawati Pingle,21,Female,Plastering,546-756,Mumbai,400001,3,Primary,Widowed,0,Part-Time
Victor Singhal,35,Male,Gardening,334-552,Pune,411001,12,Secondary,Married,2,Seasonal
Ethan Bhagat,56,Male,Welding,345-502,Lucknow,226001,7,Secondary,Single,0,Full-Time
Wishi Master,19,Male,Plumbing,526-780,Pune,411001,1,None,Widowed,2,Part-Time
Vamakshi Palan,60,Female,Domestic Help,595-795,Hyderabad,500001,18,None,Single,2,Part-Time
Ira Pillai,33,Male,"Cooking, Decorating",410-623,Mumbai,400001,2,Secondary,Married,6,Seasonal
